sample,condition,replicate,time,tile,file
D0_-IL3_R1,minus_il3,1,0,1,D0_-IL3_R1_S36_L008
D0_-IL3_R2,minus_il3,2,0,1,D0_-IL3_R2_S37_L008
D0_-IL3_R3,minus_il3,3,0,1,D0_-IL3_R3_S38_L008
D0_-plus-IL3,plus_il3,1,0,1,D0_-plus-IL3_S35_L008
D1_-IL3_R1,minus_il3,1,1,1,D1_-IL3_R1_S40_L008
D1_-IL3_R2,minus_il3,2,1,1,D1_-IL3_R2_S41_L008
D1_-IL3_R3,minus_il3,3,1,1,D1_-IL3_R3_S42_L008
D1_-plus-IL3,plus_il3,1,1,1,D1_-plus-IL3_S39_L008
D2_-IL3_R1,minus_il3,1,2,1,D2_-IL3_R1_S44_L008
D2_-IL3_R2,minus_il3,2,2,1,D2_-IL3_R2_S45_L008
D2_-IL3_R3,minus_il3,3,2,1,D2_-IL3_R3_S46_L008
D2_-plus-IL3,plus_il3,1,2,1,D2_-plus-IL3_S43_L008
D3_-IL3_R1,minus_il3,1,3,1,D3_-IL3_R1_S48_L008
D3_-IL3_R2,minus_il3,2,3,1,D3_-IL3_R2_S49_L008
D3_-IL3_R3,minus_il3,3,3,1,D3_-IL3_R3_S50_L008
D3_-plus-IL3,plus_il3,1,3,1,D3_-plus-IL3_S47_L008
D4_-IL3_R1,minus_il3,1,4,1,D4_-IL3_R1_S52_L008
D4_-IL3_R2,minus_il3,2,4,1,D4_-IL3_R2_S53_L008
D4_-IL3_R3,minus_il3,3,4,1,D4_-IL3_R3_S54_L008
D4_-plus-IL3,plus_il3,1,4,1,D4_-plus-IL3_S51_L008
R1_Bin-1,abundance,1,0,1,R1_Bin-1_S55_L008
R1_Bin-2,abundance,1,1,1,R1_Bin-2_S56_L008
R1_Bin-3,abundance,1,2,1,R1_Bin-3_S57_L008
R1_Bin-4,abundance,1,3,1,R1_Bin-4_S58_L008
R2_Bin-1,abundance,2,0,1,R2_Bin-1_S59_L008
R2_Bin-2,abundance,2,1,1,R2_Bin-2_S60_L008
R2_Bin-3,abundance,2,2,1,R2_Bin-3_S61_L008
R2_Bin-4,abundance,2,3,1,R2_Bin-4_S62_L008
R3_Bin-1,abundance,3,0,1,R3_Bin-1_S63_L008
R3_Bin-2,abundance,3,1,1,R3_Bin-2_S64_L008
R3_Bin-3,abundance,3,2,1,R3_Bin-3_S65_L008
R3_Bin-4,abundance,3,3,1,R3_Bin-4_S66_L008